x,p,n,phi
0.000000000000000000e+00,6.176536891611261737e-01,1.004754390077049919e+00,1.000000000000000000e+00
4.016064257028112081e-03,6.237410090159666298e-01,1.000504456105413054e+00,9.917449874267065812e-01
8.032128514056224161e-03,6.300280047946426043e-01,9.964201597923463272e-01,9.836418931479123939e-01
1.204819277108433624e-02,6.359434296617041404e-01,9.925356191441351283e-01,9.756865352584496165e-01
1.606425702811244832e-02,6.420496285361920741e-01,9.888030477590535883e-01,9.678749622230548022e-01
2.008032128514056214e-02,6.477934316419355909e-01,9.852577853481351289e-01,9.602032068596422221e-01
2.409638554216867248e-02,6.537200576778599004e-01,9.818519290117977416e-01,9.526675236376895839e-01
2.811244979919678283e-02,6.592932259794112015e-01,9.786219715959112442e-01,9.452641495201602462e-01
3.212851405622489664e-02,6.650421262333838790e-01,9.755198552648878252e-01,9.379895349168387853e-01
3.614457831325301046e-02,6.704462840553416791e-01,9.725831640693050062e-01,9.308401109269879292e-01
4.016064257028112428e-02,6.760198592231201342e-01,9.697636522680732618e-01,9.238125143592809119e-01
4.417670682730923115e-02,6.812571950441939084e-01,9.670999390337637891e-01,9.169033609590410139e-01
4.819277108433734497e-02,6.866583328254158847e-01,9.645435624572774591e-01,9.101094648707758195e-01
5.220883534136545878e-02,6.917315296443260486e-01,9.621341259172452309e-01,9.034276174710927920e-01
5.622489959839356566e-02,6.969635412853204537e-01,9.598229271281355501e-01,8.968548016177851911e-01
6.024096385542167947e-02,7.018757108824766888e-01,9.576505073389910416e-01,8.903879757428017072e-01
6.425702811244979329e-02,7.069422712381828733e-01,9.555679031728369077e-01,8.840242832029486797e-01
6.827309236947790017e-02,7.116968925488026398e-01,9.536165514868210069e-01,8.777608413170910895e-01
7.228915662650602092e-02,7.166019838987993662e-01,9.517472101086654757e-01,8.715949461074717908e-01
7.630522088353412780e-02,7.212028456245167529e-01,9.500021728751244510e-01,8.655238659920485578e-01
8.032128514056224855e-02,7.259507053861088410e-01,9.483319037104828153e-01,8.595450421818666698e-01
8.433734939759035543e-02,7.304018528955323886e-01,9.467795180541517253e-01,8.536558867634542747e-01
8.835341365461846230e-02,7.349969252981405354e-01,9.452951730562365595e-01,8.478539789963533968e-01
9.236947791164658306e-02,7.393026118017869130e-01,9.439227732999531106e-01,8.421368675421176953e-01
9.638554216867468993e-02,7.437495035206277416e-01,9.426121582184303627e-01,8.365022628867635479e-01
1.004016064257027968e-01,7.479141454514610654e-01,9.414079917061728420e-01,8.309478434924123524e-01
1.044176706827309176e-01,7.522175851437491456e-01,9.402597861969683724e-01,8.254714445518662735e-01
1.084337349397590244e-01,7.562457216303830609e-01,9.392129374343932691e-01,8.200708678565473697e-01
1.124497991967871313e-01,7.604105232729447827e-01,9.382166229994962636e-01,8.147440670744410252e-01
1.164658634538152521e-01,7.643067795574888246e-01,9.373169451676440778e-01,8.094889611439204380e-01
1.204819277108433589e-01,7.683378094497000932e-01,9.364627400422880221e-01,8.043036162517742671e-01
1.244979919678714797e-01,7.721068640753052659e-01,9.357007930593020939e-01,7.991860625769440230e-01
1.285140562248995866e-01,7.760090113445461402e-01,9.349795932745601501e-01,7.941344731321197115e-01
1.325301204819276935e-01,7.796555669179612291e-01,9.343465876830330252e-01,7.891469836945250727e-01
1.365461847389558003e-01,7.834337173452926573e-01,9.337499136273765821e-01,7.842218686624905510e-01
1.405622489959839350e-01,7.869624746662579051e-01,9.332376596737490537e-01,7.793573640223375731e-01
1.445783132530120418e-01,7.906214876367729794e-01,9.327576075597432403e-01,7.745518403603168789e-01
1.485943775100401487e-01,7.940371229779561446e-01,9.323584689090690381e-01,7.698036287254905741e-01
1.526104417670682556e-01,7.975818113523026609e-01,9.319876666229799378e-01,7.651111909273488054e-01
1.566265060240963625e-01,8.008889566698954576e-01,9.316945182190717878e-01,7.604729481644769695e-01
1.606425702811244971e-01,8.043240693699699184e-01,9.314260850933324676e-01,7.558874487289504174e-01
1.646586345381526040e-01,8.075272952252554592e-01,9.312322747322655525e-01,7.513531992796028680e-01
1.686746987951807109e-01,8.108575023272488469e-01,9.310597848348258765e-01,7.468688300658592460e-01
1.726907630522088177e-01,8.139613033027129907e-01,9.309590980702431295e-01,7.424329287326769666e-01
1.767068273092369246e-01,8.171911834338519975e-01,9.308765466519475229e-01,7.380442031687434179e-01
1.807228915662650315e-01,8.201999658331515786e-01,9.308631746946148811e-01,7.337013177377182949e-01
1.847389558232931661e-01,8.233339956740166610e-01,9.308649474768823096e-01,7.294030538486285797e-01
1.887550200803212730e-01,8.262520673027702323e-01,9.309334577893842999e-01,7.251481485149665618e-01
1.927710843373493799e-01,8.292946130044518416e-01,9.310143028104139740e-01,7.209354527386047096e-01
1.967871485943774867e-01,8.321261748379220613e-01,9.311596121315122154e-01,7.167637723046590414e-01
2.008032128514055936e-01,8.350814851720197440e-01,9.313146139007210111e-01,7.126320240642641801e-01
2.048192771084337283e-01,8.378306247259005302e-01,9.315319634633663082e-01,7.085390788789525107e-01
2.088353413654618351e-01,8.407028257950972527e-01,9.317565192013722575e-01,7.044839158821286640e-01
2.128514056224899420e-01,8.433735120264500562e-01,9.320414519342248294e-01,7.004654674920879343e-01
2.168674698795180489e-01,8.461666033737664794e-01,9.323312496999289767e-01,6.964827717269677088e-01
2.208835341365461558e-01,8.487626829503930326e-01,9.326795892249658548e-01,6.925348192104748835e-01
2.248995983935742626e-01,8.514805349159587644e-01,9.330305877526087199e-01,6.886207036104329271e-01
2.289156626506023973e-01,8.540057297038945450e-01,9.334384190114015656e-01,6.847394705658483849e-01
2.329317269076305041e-01,8.566520818889411526e-01,9.338468290992445464e-01,6.808902663148750367e-01
2.369477911646586110e-01,8.591099875191247071e-01,9.343104804581119360e-01,6.770721884760605436e-01
2.409638554216867179e-01,8.616884482277287205e-01,9.347727477669520724e-01,6.732844329275877726e-01
2.449799196787148248e-01,8.640825336140776081e-01,9.352887744667470749e-01,6.695261463794293100e-01
2.489959839357429594e-01,8.665965801538021429e-01,9.358015636010886817e-01,6.657965715620705049e-01
2.530120481927710663e-01,8.689301878458005612e-01,9.363667324311190088e-01,6.620949015298954743e-01
2.570281124497991732e-01,8.713831675786967157e-01,9.369269121887521257e-01,6.584204232142191193e-01
2.610441767068272800e-01,8.736595148420570611e-01,9.375381872764857460e-01,6.547723734015549191e-01
2.650602409638553869e-01,8.760546468874059745e-01,9.381428169636546466e-01,6.511500807026607829e-01
2.690763052208834938e-01,8.782768274163761379e-01,9.387973465826235930e-01,6.475528231524240175e-01
2.730923694779116007e-01,8.806172049160113646e-01,9.394436633021054917e-01,6.439799686437375215e-01
2.771084337349397075e-01,8.827881910903717655e-01,9.401387676099643986e-01,6.404308340985944703e-01
2.811244979919678699e-01,8.850767839563791206e-01,9.408241744383660787e-01,6.369048244129372760e-01
2.851405622489959768e-01,8.871994295651189910e-01,9.415573340655282175e-01,6.334012931512095212e-01
2.891566265060240837e-01,8.894390876381574884e-01,9.422793890440893660e-01,6.299196800458424228e-01
2.931726907630521906e-01,8.915161310001994410e-01,9.430482344608843714e-01,6.264593731699739099e-01
2.971887550200802974e-01,8.937095875545875145e-01,9.438046403311686205e-01,6.230198450329406112e-01
3.012048192771084043e-01,8.957436549747587184e-01,9.446069419281550861e-01,6.196005161881672496e-01
3.052208835341365112e-01,8.978935305138412426e-01,9.453955365503218244e-01,6.162008899638973247e-01
3.092369477911646181e-01,8.998871400195621595e-01,9.462291953723370730e-01,6.128204174653886227e-01
3.132530120481927249e-01,9.019959463117268594e-01,9.470479427692992669e-01,6.094586309781347966e-01
3.172690763052208318e-01,9.039515116226308766e-01,9.479109818491305850e-01,6.061150103254875354e-01
3.212851405622489942e-01,9.060216559346802034e-01,9.487579638249089564e-01,6.027891149797814929e-01
3.253012048192771011e-01,9.079414906236030758e-01,9.496485200671900273e-01,5.994804517383519604e-01
3.293172690763052080e-01,9.099752801140427172e-01,9.505219283522335916e-01,5.961886055762611880e-01
3.333333333333333148e-01,9.118616019235614711e-01,9.514382449223810490e-01,5.929131086054085786e-01
3.373493975903614217e-01,9.138612481637550244e-01,9.523363738025970582e-01,5.896535697009577248e-01
3.413654618473895286e-01,9.157161834477317575e-01,9.532767929793549699e-01,5.864095447098465197e-01
3.453815261044176355e-01,9.176838070438407824e-01,9.541980323691371391e-01,5.831806648815276439e-01
3.493975903614457423e-01,9.195093953082791316e-01,9.551609888226434419e-01,5.799665082936908966e-01
3.534136546184738492e-01,9.214470306014480583e-01,9.561038177453503595e-01,5.767667271165388687e-01
3.574297188755019561e-01,9.232452291234155561e-01,9.570878322056285414e-01,5.735809202249402272e-01
3.614457831325300630e-01,9.251548289498541244e-01,9.580508126477809139e-01,5.704087593241652376e-01
3.654618473895582254e-01,9.269275174573119447e-01,9.590544859312147841e-01,5.672498627190056819e-01
3.694779116465863322e-01,9.288109579537632277e-01,9.600362570391933748e-01,5.641039203276789760e-01
3.734939759036144391e-01,9.305599433528947140e-01,9.610582644029176391e-01,5.609705685796827490e-01
3.775100401606425460e-01,9.324190287965077317e-01,9.620575369931764209e-01,5.578495143434404335e-01
3.815261044176706529e-01,9.341460499365823456e-01,9.630966227894226517e-01,5.547404109258127214e-01
3.855421686746987597e-01,9.359825176114564549e-01,9.641121741452233218e-01,5.516429809379896909e-01
3.895582329317268666e-01,9.376892500804512309e-01,9.651671467495305246e-01,5.485568933706653771e-01
3.935742971887549735e-01,9.395047751661238511e-01,9.661978156789632344e-01,5.454818854216816337e-01
3.975903614457830804e-01,9.411928361132562149e-01,9.672675426678251087e-01,5.424176406218860214e-01
4.016064257028111872e-01,9.429890365931866691e-01,9.683122247994399023e-01,5.393639096470911332e-01
4.056224899598392941e-01,9.446599895772508360e-01,9.693956283544211683e-01,5.363203894705923513e-01
4.096385542168674565e-01,9.464384311679425732e-01,9.704532716481730770e-01,5.332868431811185195e-01
4.136546184738955634e-01,9.480937910328852691e-01,9.715493241648175404e-01,5.302629801388827335e-01
4.176706827309236703e-01,9.498559921367255576e-01,9.726189246172241010e-01,5.272485748203659117e-01
4.216867469879517771e-01,9.514972299182975490e-01,9.737266444982037861e-01,5.242433479556163345e-01
4.257028112449798840e-01,9.532446666054833484e-01,9.748072420216736811e-01,5.212470844199178499e-01
4.297188755020079909e-01,9.548732144750807782e-01,9.759256896345998022e-01,5.182595153308477975e-01
4.337349397590360978e-01,9.566073255021922961e-01,9.770163640917868264e-01,5.152804350061361838e-01
4.377510040160642046e-01,9.582245817561720891e-01,9.781446378729488078e-01,5.123095839997378054e-01
4.417670682730923115e-01,9.599467736310615118e-01,9.792445052477660727e-01,5.093467651444807398e-01
4.457831325301204184e-01,9.615541077359246458e-01,9.803817379337679272e-01,5.063917275071140311e-01
4.497991967871485253e-01,9.632657598406378918e-01,9.814899466213407031e-01,5.034442815336711563e-01
4.538152610441766877e-01,9.648645175465343504e-01,9.826353015911982736e-01,5.005041839041181051e-01
4.578313253012047945e-01,9.665669873320080763e-01,9.837510287895656624e-01,4.975712517977198268e-01
4.618473895582329014e-01,9.681584958690530041e-01,9.849036965003017396e-01,4.946452486285393135e-01
4.658634538152610083e-01,9.698531241373391509e-01,9.860261446870999258e-01,4.917259974474845197e-01
4.698795180722891152e-01,9.714386975112779821e-01,9.871853391862415172e-01,4.888132675405018612e-01
4.738955823293172220e-01,9.731268138030895187e-01,9.883137326639145348e-01,4.859068869833986781e-01
4.779116465863453289e-01,9.747077582089240799e-01,9.894786881625642350e-01,4.830066300851320049e-01
4.819277108433734358e-01,9.763906863163708261e-01,9.906122696558619101e-01,4.801123291109446467e-01
4.859437751004015427e-01,9.779683056906884886e-01,9.917822371461764153e-01,4.772237625536778216e-01
4.899598393574296495e-01,9.796473693172297326e-01,9.929202644358164909e-01,4.743407660402229609e-01
4.939759036144578119e-01,9.812229710521984671e-01,9.940945083367962454e-01,4.714631214142854798e-01
4.979919678714859188e-01,9.828994996440875154e-01,9.952362509131836843e-01,4.685906668406393250e-01
5.020080321285139702e-01,9.844744004884039557e-01,9.964140457286493335e-01,4.657231866832401423e-01
5.060240963855421326e-01,9.861497352642800696e-01,9.975587814494747407e-01,4.628605208212717703e-01
5.100401606425701839e-01,9.877252674388276033e-01,9.987394084219856083e-01,4.600024553069531064e-01
5.140562248995983463e-01,9.894007676466495260e-01,9.998864201573538502e-01,4.571488309068838518e-01
5.180722891566265087e-01,9.909782852052667623e-01,1.001069163901610937e+00,4.542994345243105414e-01
5.220883534136545601e-01,9.926553346385038612e-01,1.002217736150092131e+00,4.514541069788109984e-01
5.261044176706827225e-01,9.942362201071072159e-01,1.003401881249059713e+00,4.486126351781831167e-01
5.301204819277107738e-01,9.959162339150626764e-01,1.004551296707696384e+00,4.457748591490516277e-01
5.341365461847389362e-01,9.975019052454611179e-01,1.005736124254278163e+00,4.429405649439200898e-01
5.381526104417669876e-01,9.991863370758092833e-01,1.006885660325135934e+00,4.401095909348372581e-01
5.421686746987951500e-01,1.000778254953917923e+00,1.008070444391739651e+00,4.372817214415079534e-01
5.461847389558232013e-01,1.002468604469061386e+00,1.009219369607040839e+00,4.344567922997204512e-01
5.502008032128513637e-01,1.004068280020919968e+00,1.010403373624779944e+00,4.316345851967460234e-01
5.542168674698794151e-01,1.005766100833639376e+00,1.011550943972016059e+00,4.288149325257984423e-01
5.582329317269075775e-01,1.007375103776720016e+00,1.012733417000595715e+00,4.259976124152686228e-01
5.622489959839357399e-01,1.009082011854864236e+00,1.013878872128266551e+00,4.231824528800616769e-01
5.662650602409637912e-01,1.010701979146648943e+00,1.015059044996810655e+00,4.203692275315103477e-01
5.702811244979919536e-01,1.012419661741346788e+00,1.016201604280591475e+00,4.175577590360138314e-01
5.742971887550200050e-01,1.014052306782163182e+00,1.017378685578765429e+00,4.147478154927516369e-01
5.783132530120481674e-01,1.015782531939297240e+00,1.018517544026943389e+00,4.119392132096290626e-01
5.823293172690762187e-01,1.017429654391950766e+00,1.019690715924713498e+00,4.091317137361739076e-01
5.863453815261043811e-01,1.019174281112497082e+00,1.020825039900667752e+00,4.063251259663738790e-01
5.903614457831324325e-01,1.020837777407447078e+00,1.021993453773920146e+00,4.035192038143817217e-01
5.943775100401605949e-01,1.022598766528834968e+00,1.023122376512230813e+00,4.007137476534084475e-01
5.983935742971886462e-01,1.024280641130588920e+00,1.024285148350222885e+00,3.979085026220876564e-01
6.024096385542168086e-01,1.026060067008561116e+00,1.025407765241696856e+00,3.951032594081648197e-01
6.064257028112449710e-01,1.027762444526739483e+00,1.026563970810958182e+00,3.922977531735782897e-01
6.104417670682730224e-01,1.029562507605424670e+00,1.027679334430420033e+00,3.894917636912554881e-01
6.144578313253011848e-01,1.031287645842670742e+00,1.028828004168222954e+00,3.866850148771577844e-01
6.184738955823292361e-01,1.033110686209827822e+00,1.029935119017367562e+00,3.838772742880586786e-01
6.224899598393573985e-01,1.034860990248560375e+00,1.031075232626264881e+00,3.810682532489698127e-01
6.265060240963854499e-01,1.036709502283374773e+00,1.032173049562169709e+00,3.782577057193314829e-01
6.305220883534136123e-01,1.038487539724455067e+00,1.033303530275340831e+00,3.754453290043892610e-01
6.345381526104416636e-01,1.040364187957029785e+00,1.034390940593401753e+00,3.726308619967707014e-01
6.385542168674698260e-01,1.042172705435931990e+00,1.035510649078639656e+00,3.698139864605140548e-01
6.425702811244979884e-01,1.044080341750925678e+00,1.036586478216715568e+00,3.669944246545370770e-01
6.465863453815260398e-01,1.045922282871157627e+00,1.037694206084846860e+00,3.641718411781296738e-01
6.506024096385542022e-01,1.047863965203093661e+00,1.038757206913274667e+00,3.613459399823362173e-01
6.546184738955822535e-01,1.049742490042693488e+00,1.039851669794600530e+00,3.585163667658133324e-01
6.586345381526104159e-01,1.051721502727593904e+00,1.040900515454455055e+00,3.556828053796446953e-01
6.626506024096384673e-01,1.053640009092783769e+00,1.041980345604451630e+00,3.528448807625308992e-01
6.666666666666666297e-01,1.055659885060258985e+00,1.043013621853997375e+00,3.500022547440331255e-01
6.706827309236946810e-01,1.057622031681142660e+00,1.044077360247007702e+00,3.471545295081008842e-01
6.746987951807228434e-01,1.059686576693281257e+00,1.045093557273690132e+00,3.443013427991947206e-01
6.787148594377508948e-01,1.061696308580212467e+00,1.046139645140667707e+00,3.414422719031707798e-01
6.827309236947790572e-01,1.063809627748989017e+00,1.047137148793245487e+00,3.385769282601590602e-01
6.867469879518072196e-01,1.065871203955379265e+00,1.048163918556796581e+00,3.357048619518049892e-01
6.907630522088352709e-01,1.068037730799352936e+00,1.049141000949301183e+00,3.328256557241759395e-01
6.947791164658634333e-01,1.070155754867802678e+00,1.050146666506284410e+00,3.299388299703094329e-01
6.987951807228914847e-01,1.072380283202206019e+00,1.051101475942439079e+00,3.270439361657818123e-01
7.028112449799196471e-01,1.074559736606580662e+00,1.052084122241259356e+00,3.241404623354240955e-01
7.068273092369476984e-01,1.076847455599224457e+00,1.053014672404769758e+00,3.212279259035094037e-01
7.108433734939758608e-01,1.079093734536417992e+00,1.053972244261228042e+00,3.183057796333685352e-01
7.148594377510039122e-01,1.081450267306004243e+00,1.054876402614014275e+00,3.153735038934307178e-01
7.188755020080320746e-01,1.083769223238595591e+00,1.055806692706176664e+00,3.124305130582960000e-01
7.228915662650601259e-01,1.086200669423034393e+00,1.056682168033138636e+00,3.094762471910922907e-01
7.269076305220882883e-01,1.088598653828902307e+00,1.057582804012164646e+00,3.065100788943350696e-01
7.309236947791164507e-01,1.091111636610288427e+00,1.058427133047492807e+00,3.035314044082354501e-01
7.349397590361445021e-01,1.093595550458850374e+00,1.059295563697757903e+00,3.005395508993931042e-01
7.389558232931726645e-01,1.096197268600280328e+00,1.060106096764142469e+00,2.975338669737989661e-01
7.429718875502007158e-01,1.098774617148907229e+00,1.060939577142312684e+00,2.945136303910557141e-01
7.469879518072288782e-01,1.101472902678035215e+00,1.061713462730688340e+00,2.914781379898552238e-01
7.510040160642569296e-01,1.104151856268248855e+00,1.062509038209703771e+00,2.884266138149949033e-01
7.550200803212850920e-01,1.106955238535440200e+00,1.063243206423453602e+00,2.853582984520656174e-01
7.590361445783131433e-01,1.109744700168979747e+00,1.063997695563692059e+00,2.822723575540191931e-01
7.630522088353413057e-01,1.112662477116608040e+00,1.064688840347559839e+00,2.791679705806653922e-01
7.670682730923693571e-01,1.115572157709079137e+00,1.065398816513851266e+00,2.760442397109352797e-01
7.710843373493975195e-01,1.118614475315907297e+00,1.066043376584242974e+00,2.729002779815435376e-01
7.751004016064256819e-01,1.121654977663780528e+00,1.066705148223941801e+00,2.697351185703678045e-01
7.791164658634537332e-01,1.124832918678095650e+00,1.067299286613922593e+00,2.665478023272700447e-01
7.831325301204818956e-01,1.128015831337311425e+00,1.067908876108035532e+00,2.633372874131572616e-01
7.871485943775099470e-01,1.131341514588947605e+00,1.068448458237231780e+00,2.601025362144566144e-01
7.911646586345381094e-01,1.134679517055126707e+00,1.069001579233711752e+00,2.568424253214157127e-01
7.951807228915661607e-01,1.138166208845057037e+00,1.069482149410641014e+00,2.535558318160696101e-01
7.991967871485943231e-01,1.141673189652283149e+00,1.069974182546570507e+00,2.502415435721570547e-01
8.032128514056223745e-01,1.145335428965653657e+00,1.070390938808766679e+00,2.468983449045796807e-01
8.072289156626505369e-01,1.149026618590178073e+00,1.070816905726368784e+00,2.435249271719239772e-01
8.112449799196785882e-01,1.152880358172524433e+00,1.071164672922237937e+00,2.401199737733661910e-01
8.152610441767067506e-01,1.156772478948503657e+00,1.071519208482702989e+00,2.366820710331645761e-01
8.192771084337349130e-01,1.160835244635306518e+00,1.071792409498516729e+00,2.332097925286745199e-01
8.232931726907629644e-01,1.164946680272773705e+00,1.072069732097710171e+00,2.297016102342711030e-01
8.273092369477911268e-01,1.169237751381714707e+00,1.072262357133768829e+00,2.261559781615677389e-01
8.313253012048191781e-01,1.173588739136000259e+00,1.072456237025249948e+00,2.225712437379958331e-01
8.353413654618473405e-01,1.178129353234398602e+00,1.072561810827311390e+00,2.189457307374208517e-01
8.393574297188753919e-01,1.182742202328065151e+00,1.072665536361074201e+00,2.152776508659861032e-01
8.433734939759035543e-01,1.187555788293854775e+00,1.072677083316956770e+00,2.115651859580329752e-01
8.473895582329316056e-01,1.192455128857925262e+00,1.072683425007235458e+00,2.078063997387393780e-01
8.514056224899597680e-01,1.197567572884763676e+00,1.072593432024484095e+00,2.039993192565102142e-01
8.554216867469878194e-01,1.202780640492013831e+00,1.072494604367278059e+00,2.001418467883210595e-01
8.594377510040159818e-01,1.208220590577231413e+00,1.072294981456342278e+00,1.962318404754662127e-01
8.634538152610441442e-01,1.213777552419752492e+00,1.072082602427504749e+00,1.922670263332534046e-01
8.674698795180721955e-01,1.219576767955175001e+00,1.071764640926571976e+00,1.882450780520782407e-01
8.714859437751003579e-01,1.225511097913238645e+00,1.071429689104912875e+00,1.841635290680803116e-01
8.755020080321284093e-01,1.231704852320639976e+00,1.070984017497945695e+00,1.800198514858306065e-01
8.795180722891565717e-01,1.238053763633332638e+00,1.070516786775496110e+00,1.758113681605998901e-01
8.835341365461846230e-01,1.244681309608504316e+00,1.069933324074842762e+00,1.715353306923481369e-01
8.875502008032127854e-01,1.251486255656568902e+00,1.069323375938938225e+00,1.671888314631837791e-01
8.915662650602408368e-01,1.258591364585562200e+00,1.068591282628896355e+00,1.627688806446427883e-01
8.955823293172689992e-01,1.265898620520447881e+00,1.067827396028912190e+00,1.582723181255015488e-01
8.995983935742970505e-01,1.273530210107258087e+00,1.066935022597723659e+00,1.536958894652934171e-01
9.036144578313252129e-01,1.281391550819771075e+00,1.066005141444093640e+00,1.490361576375922315e-01
9.076305220883533753e-01,1.289604418044255851e+00,1.064939974570040748e+00,1.442895778520453254e-01
9.116465863453814267e-01,1.298077911406894991e+00,1.063831152955668324e+00,1.394524090262110882e-01
9.156626506024095891e-01,1.306933591781031634e+00,1.062579759459336248e+00,1.345207873857242054e-01
9.196787148594376404e-01,1.316084530409710407e+00,1.061278104744887374e+00,1.294906375633040618e-01
9.236947791164658028e-01,1.325652309336402990e+00,1.059826073475514274e+00,1.243577448715492278e-01
9.277108433734938542e-01,1.335554309548507623e+00,1.058316687441646753e+00,1.191176659102742008e-01
9.317269076305220166e-01,1.345912417695538821e+00,1.056648569332151455e+00,1.137657993882715685e-01
9.357429718875500679e-01,1.356648721220419240e+00,1.054915487674952912e+00,1.082972960989735112e-01
9.397590361445782303e-01,1.367885753580856845e+00,1.053014734279191122e+00,1.027071281455791268e-01
9.437751004016063927e-01,1.379550776341984308e+00,1.051040864811504827e+00,9.698999811927393189e-02
9.477911646586344441e-01,1.391767384565375520e+00,1.048889765730118828e+00,9.114040655544093650e-02
9.518072289156626065e-01,1.404468568084001667e+00,1.046656825752678932e+00,8.515256011715621742e-02
9.558232931726906578e-01,1.417779488406714972e+00,1.044236445462234597e+00,7.902043707755404545e-02
9.598393574297188202e-01,1.431639523861225838e+00,1.041724898886295048e+00,7.273769427256723819e-02
9.638554216867468716e-01,1.446176019454736617e+00,1.039015013611872096e+00,6.629773036430187949e-02
9.678714859437750340e-01,1.461335533235792905e+00,1.036204008551029565e+00,5.969359127908660523e-02
9.718875502008030853e-01,1.477248351276613914e+00,1.033183043966714454e+00,5.291803095684098623e-02
9.759036144578312477e-01,1.493869165467460070e+00,1.030050351671506714e+00,4.596341493093337310e-02
